GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BIOPET Backend,com.biopet.entity,Vacuna,0,22,0,4,0,7,0,4,0,2
BIOPET Backend,com.biopet.entity,Usuario,0,28,0,6,0,8,0,5,0,2
BIOPET Backend,com.biopet.entity,Consulta,0,22,0,4,0,7,0,4,0,2
BIOPET Backend,com.biopet.entity,Mascota,0,22,0,4,0,7,0,4,0,2
BIOPET Backend,com.biopet.entity,EstadoCita,0,21,0,0,0,4,0,1,0,1
BIOPET Backend,com.biopet.entity,Cita,0,28,0,6,0,8,0,5,0,2
BIOPET Backend,com.biopet.security,JwtAuthenticationFilter,0,141,3,21,0,37,3,12,0,3
BIOPET Backend,com.biopet.security,TokenBlacklistService,0,35,0,4,0,9,0,5,0,3
BIOPET Backend,com.biopet.security,JwtCookieService,1,142,2,10,1,38,2,13,0,9
BIOPET Backend,com.biopet.security,ProblemAccessDeniedHandler,1,34,1,1,1,10,1,2,0,2
BIOPET Backend,com.biopet.security,LoginRateLimiterService,4,207,4,24,2,44,4,20,0,10
BIOPET Backend,com.biopet.security,ProblemAuthenticationEntryPoint,1,34,1,1,1,10,1,2,0,2
BIOPET Backend,com.biopet.security,LoginRateLimiterService.Estado,0,12,0,0,0,1,0,1,0,1
BIOPET Backend,com.biopet.security,AuthenticationAuditService,7,103,3,5,2,25,3,12,0,11
BIOPET Backend,com.biopet.security,JwtService,5,148,1,1,1,38,1,11,0,11
BIOPET Backend,com.biopet.service,VacunaService,78,260,9,11,13,66,11,17,3,15
BIOPET Backend,com.biopet.service,ConsultaService,141,197,6,8,23,57,13,11,8,9
BIOPET Backend,com.biopet.service,UserDetailsServiceImpl,2,44,1,1,0,11,1,3,0,3
BIOPET Backend,com.biopet.service,MascotaService,73,271,3,13,8,66,11,18,9,12
BIOPET Backend,com.biopet.service,AuthService,15,307,2,14,0,79,5,14,3,8
BIOPET Backend,com.biopet.service,CitaService,6,315,2,16,0,71,3,25,1,18
BIOPET Backend,com.biopet.service,UsuarioService,24,211,6,10,2,42,7,14,2,11
BIOPET Backend,com.biopet.exception,GlobalExceptionHandler,8,138,0,2,1,26,1,11,1,10
BIOPET Backend,com.biopet.exception,ExternalApiException,0,9,0,0,0,4,0,2,0,2
BIOPET Backend,com.biopet.exception,RateLimitExcedidoException,0,11,0,0,0,4,0,2,0,2
BIOPET Backend,com.biopet.exception,ProblemType,0,78,0,0,0,14,0,3,0,3
BIOPET Backend,com.biopet.exception,RecursoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
BIOPET Backend,com.biopet.exception,ProblemDetailFactory,0,18,0,0,0,5,0,1,0,1
BIOPET Backend,com.biopet.exception,EmailDuplicadoException,0,5,0,0,0,2,0,1,0,1
BIOPET Backend,com.biopet.config,DataInitializer,0,29,1,1,0,11,1,3,0,3
BIOPET Backend,com.biopet.config,TomcatDualConnectorConfig,0,53,0,4,0,14,0,7,0,5
BIOPET Backend,com.biopet.config,SecurityConfig,0,236,0,0,0,45,0,17,0,17
BIOPET Backend,com.biopet.controller,MascotaController,7,45,0,0,1,9,1,6,1,6
BIOPET Backend,com.biopet.controller,ConsultaController,22,23,0,0,3,6,3,3,3,3
BIOPET Backend,com.biopet.controller,AuthController,0,115,0,0,0,22,0,5,0,5
BIOPET Backend,com.biopet.controller,CitaController,0,43,0,0,0,9,0,6,0,6
BIOPET Backend,com.biopet.controller,ExternalApiController,5,6,0,0,1,3,1,1,1,1
BIOPET Backend,com.biopet.controller,UsuarioController,0,48,0,0,0,11,0,7,0,7
BIOPET Backend,com.biopet.controller,VacunaController,15,38,0,0,2,8,2,5,2,5
BIOPET Backend,com.biopet.integration,ExternalApiService,0,135,0,10,0,34,0,9,0,4
BIOPET Backend,com.biopet.integration,RestTemplateConfig,0,12,0,0,0,5,0,2,0,2
BIOPET Backend,com.biopet.integration,ExternalApiClient,82,6,2,0,17,3,2,1,1,1
BIOPET Backend,com.biopet.integration,ExternalApiClient.AnimalApiNinjasDto,0,15,0,0,0,1,0,1,0,1
BIOPET Backend,com.biopet.integration,ExternalApiClient.AnimalApiNinjasDto.Taxonomy,0,15,0,0,0,1,0,1,0,1
BIOPET Backend,com.biopet.integration,ExternalApiClient.AnimalApiNinjasDto.Characteristics,0,15,0,0,0,1,0,1,0,1
